date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1120101","111","3","2365","昆盈企業股份有限公司","電腦及週邊設備業","0.29","新台幣                 10.0000元","853086.00","32326.00","33191.00","63362.00"
"1120101","111","3","2367","燿華電子股份有限公司","電子零組件業","0.99","新台幣                 10.0000元","13496499.00","374314.00","268273.00","620952.00"
"1120101","111","3","2368","金像電子(股)公司","電子零組件業","6.90","新台幣                 10.0000元","24304822.00","4516653.00","509374.00","3622473.00"
"1120101","111","3","2369","菱生精密工業股份有限公司","半導體業","0.52","新台幣                 10.0000元","4769838.00","158623.00","83842.00","202762.00"
"1120101","111","3","2371","大同股份有限公司","電機機械","3.88","新台幣                 10.0000元","21708294.00","382985.00","6793588.00","7067815.00"
"1120101","111","3","2373","震旦行股份有限公司","其他電子業","4.15","新台幣                 10.0000元","9379866.00","760004.00","500939.00","1004125.00"
"1120101","111","3","2374","佳能企業股份有限公司","光電業","0.63","新台幣                 10.0000元","3995613.00","-17618.00","275956.00","220677.00"
"1120101","111","3","2375","凱美電機股份有限公司","電子零組件業","4.74","新台幣                 10.0000元","4591710.00","269320.00","509349.00","607779.00"
"1120101","111","3","2376","技嘉科技股份有限公司","電腦及週邊設備業","8.22","新台幣                 10.0000元","79464006.00","5107975.00","2116474.00","5216125.00"
"1120101","111","3","2377","微星科技股份有限公司","電腦及週邊設備業","11.15","新台幣                 10.0000元","139620893.00","10325258.00","1441625.00","9417442.00"
"1120101","111","3","2379","瑞昱半導體股份有限公司","半導體業","27.47","新台幣                 10.0000元","90027673.00","13953712.00","713988.00","14070449.00"
"1120101","111","3","2380","虹光精密工業股份有限公司","電腦及週邊設備業","0.11","新台幣                 10.0000元","2225142.00","-8994.00","6750.00","18525.00"
"1120101","111","3","2382","廣達電腦股份有限公司","電腦及週邊設備業","5.18","新台幣                 10.0000元","954323834.00","21248408.00","7274955.00","20548923.00"
"1120101","111","3","2383","台光電子材料股份有限公司","電子零組件業","11.16","新台幣                 10.0000元","29784514.00","4702722.00","44156.00","3717155.00"
"1120101","111","3","2385","群光電子股份有限公司","電子零組件業","7.88","新台幣                 10.0000元","88145642.00","8093198.00","639312.00","6888131.00"
"1120101","111","3","2387","精元電腦股份有限公司","電腦及週邊設備業","5.76","新台幣                 10.0000元","18426862.00","1045226.00","688749.00","1241408.00"
"1120101","111","3","2388","威盛電子股份有限公司","半導體業","-0.18","新台幣                 10.0000元","7092640.00","157856.00","314012.00","205821.00"
"1120101","111","3","2390","云辰電子開發股份有限公司","其他電子業","-3.59","新台幣                 10.0000元","418245.00","-41007.00","-691068.00","-767348.00"
"1120101","111","3","2392","正崴精密工業股份有限公司","電子零組件業","2.57","新台幣                 10.0000元","66200653.00","2428110.00","88923.00","1661693.00"
"1120101","111","3","2393","億光電子工業股份有限公司","光電業","2.89","新台幣                 10.0000元","15431460.00","1258171.00","462571.00","1360293.00"
"1120101","111","3","2395","研華股份有限公司","電腦及週邊設備業","10.59","新台幣                 10.0000元","51557924.00","9500687.00","773415.00","8208119.00"
"1120101","111","3","2397","友通資訊股份有限公司","電腦及週邊設備業","3.43","新台幣                 10.0000元","11842778.00","528748.00","69218.00","461532.00"
